KH2012:KH.C1.1212	KH2012:KH.L107.7	KH2012:KH.L153.40	KH2012:KH.L95.10	KH2012:KH.C2.252	KH2012:KH.C4.78	KH2012:KH.C12.611	KH2012:KH.S514.6	KH2012:KH.S1363.2	KH2012:KH.L170.42	KH2012:KH.C4.341	KH2012:KH.L134.30	KH2012:KH.C1.505	KH2012:KH.C3.591	KH2012:KH.C8.573	KH2012:KH.C2.42	KH2012:KH.C8.164	KH2012:KH.C1.652	KH2012:KH.C10.475	KH2012:KH.L71.1	KH2012:KH.C9.244	KH2012:KH.C2.140	KH2012:KH.C1.569	KH2012:KH.C1.1218	KH2012:KH.C9.229	KH2012:KH.C11.251	KH2012:KH.C8.657	KH2012:KH.C12.122	KH2012:KH.C10.165	KH2012:KH.C3.915	KH2012:KH.C2.932	KH2012:KH.C5.45	KH2012:KH.L87.44	KH2012:KH.L128.2	KH2012:KH.C10.198	KH2012:KH.C2.629	KH2012:KH.C9.421	KH2012:KH.C2.577	KH2012:KH.C2.872	KH2012:KH.L171.16	KH2012:KH.C3.687	KH2012:KH.L141.43	KH2012:KH.C14.211	KH2012:KH.C8.221	KH2012:KH.L147.29	KH2012:KH.C9.692	KH2012:KH.C12.233	KH2012:KH.L141.7	KH2012:KH.C10.246	KH2012:KH.C11.593	KH2012:KH.C11.374	KH2012:KH.C12.129	KH2012:KH.L6.1	KH2012:KH.C1.1241	KH2012:KH.C10.464	KH2012:KH.C12.343	KH2012:KH.C12.288	KH2012:KH.C1.240	KH2012:KH.C1.1276	KH2012:KH.C5.41	KH2012:KH.C7.353	KH2012:KH.C1.568	KH2012:KH.C1.552	KH2012:KH.C7.61	KH2012:KH.C3.294	KH2012:KH.C4.510	KH2012:KH.C1.507	KH2012:KH.C11.297	KH2012:KH.C1.457	KH2012:KH.L149.22	KH2012:KH.C5.253	KH2012:KH.C9.810	KH2012:KH.C11.325	KH2012:KH.C5.117	KH2012:KH.C13.97	KH2012:KH.C12.51	KH2012:KH.C2.667	KH2012:KH.C14.497	KH2012:KH.L133.2	KH2012:KH.C3.767	KH2012:KH.C7.376	KH2012:KH.C4.798	KH2012:KH.L116.47	KH2012:KH.L96.3	KH2012:KH.L4.22	KH2012:KH.C4.94	KH2012:KH.C8.562	KH2012:KH.L18.119	KH2012:KH.C8.135	KH2012:KH.L68.1	KH2012:KH.C1.1083	KH2012:KH.C3.303	KH2012:KH.C9.105	KH2012:KH.C4.529	KH2012:KH.L165.4	KH2012:KH.C1.740	KH2012:KH.S910.3	KH2012:KH.C2.349	KH2012:KH.C8.501	KH2012:KH.S390.7	KH2012:KH.C3.635	KH2012:KH.C9.700	KH2012:KH.C1.941	KH2012:KH.C1.1157	KH2012:KH.S643.6	KH2012:KH.C7.572	KH2012:KH.C12.125	KH2012:KH.C12.244	KH2012:KH.C11.240	KH2012:KH.C4.175	KH2012:KH.C9.174	KH2012:KH.S618.2	KH2012:KH.L165.5	KH2012:KH.C9.247	KH2012:KH.C12.182	KH2012:KH.C3.239	KH2012:KH.S852.6	KH2012:KH.C8.911	KH2012:KH.C2.11	KH2012:KH.L18.94	KH2012:KH.C4.115	KH2012:KH.S1313.1	KH2012:KH.C11.270	KH2012:KH.C2.402	KH2012:KH.C5.260	KH2012:KH.S1039.5	KH2012:KH.C1.413	KH2012:KH.C11.13	KH2012:KH.C9.15	KH2012:KH.L18.20	KH2012:KH.C7.478	KH2012:KH.S595.8	KH2012:KH.C8.563	KH2012:KH.L119.20	KH2012:KH.S1090.4	KH2012:KH.C14.81	KH2012:KH.C2.1056	KH2012:KH.C5.337	KH2012:KH.C3.820	KH2012:KH.S346.2	KH2012:KH.C3.474	KH2012:KH.C13.162	KH2012:KH.L87.11	KH2012:KH.C4.304	KH2012:KH.L95.18	KH2012:KH.C14.478	KH2012:KH.C1.719	KH2012:KH.C2.936	KH2012:KH.C3.54	KH2012:KH.L153.33	KH2012:KH.S982.4	KH2012:KH.L164.21	KH2012:KH.C9.319	KH2012:KH.L106.3	KH2012:KH.C8.585	KH2012:KH.C2.614	KH2012:KH.L9.36	KH2012:KH.C10.124	KH2012:KH.C1.1182	KH2012:KH.C2.59	KH2012:KH.C3.282	KH2012:KH.C4.754	KH2012:KH.L116.85	KH2012:KH.C8.675	KH2012:KH.L113.1	KH2012:KH.C6.40	KH2012:KH.C9.868	KH2012:KH.C1.358	KH2012:KH.C9.672	KH2012:KH.C1.409	KH2012:KH.S115.14	KH2012:KH.S1011.2	KH2012:KH.C10.272	KH2012:KH.C3.55	KH2012:KH.C11.467	KH2012:KH.C3.827	KH2012:KH.C2.713	KH2012:KH.L122.12	KH2012:KH.L22.6	KH2012:KH.S437.6	KH2012:KH.C2.550	KH2012:KH.C1.314	KH2012:KH.C5.558	KH2012:KH.L25.5	KH2012:KH.C14.5	KH2012:KH.L119.10	KH2012:KH.C11.358	KH2012:KH.C9.625	KH2012:KH.C9.407	KH2012:KH.C3.34	KH2012:KH.L4.21	KH2012:KH.L152.32	KH2012:KH.C3.376	KH2012:KH.C7.681	KH2012:KH.C2.203	KH2012:KH.C3.716	KH2012:KH.L149.20	KH2012:KH.C2.256	KH2012:KH.L18.124	KH2012:KH.S115.18	KH2012:KH.C12.87	KH2012:KH.L92.2	KH2012:KH.C3.489	KH2012:KH.C1.752	KH2012:KH.C5.19	KH2012:KH.L41.54	KH2012:KH.C3.80	KH2012:KH.C9.159	KH2012:KH.C8.625	KH2012:KH.C9.232	KH2012:KH.C1.167	KH2012:KH.C6.212	KH2012:KH.C1.1265	KH2012:KH.C10.15	KH2012:KH.C3.696	KH2012:KH.L61.10	KH2012:KH.C4.224	KH2012:KH.C2.60	KH2012:KH.C2.91	KH2012:KH.C3.272	KH2012:KH.C13.66	KH2012:KH.C9.771	KH2012:KH.C5.608	KH2012:KH.C7.239	KH2012:KH.C9.468	KH2012:KH.C10.133	KH2012:KH.S1140.1	KH2012:KH.L147.13	KH2012:KH.C1.584	KH2012:KH.C6.167	KH2012:KH.C4.156	KH2012:KH.C14.389	KH2012:KH.C7.4	KH2012:KH.L83.7	KH2012:KH.C2.276	KH2012:KH.C14.103	KH2012:KH.C1.1101	KH2012:KH.C3.525	KH2012:KH.L142.15	KH2012:KH.L106.6	KH2012:KH.L147.11	KH2012:KH.L152.38	KH2012:KH.C1.33	KH2012:KH.C8.318	KH2012:KH.S215.9	KH2012:KH.C9.462	KH2012:KH.L124.8	KH2012:KH.C1.118	KH2012:KH.C12.92	KH2012:KH.C4.154	KH2012:KH.C2.167	KH2012:KH.C2.64	KH2012:KH.C7.309	KH2012:KH.S595.4	KH2012:KH.C3.562	KH2012:KH.C4.254	KH2012:KH.C6.13	KH2012:KH.L68.2	KH2012:KH.C2.765	KH2012:KH.C2.254	KH2012:KH.C3.114	KH2012:KH.C2.12	KH2012:KH.L57.32	KH2012:KH.C5.330	KH2012:KH.C2.549	KH2012:KH.C1.985	KH2012:KH.C9.366	KH2012:KH.L97.8	KH2012:KH.S675.3	KH2012:KH.C1.94	KH2012:KH.C13.110	KH2012:KH.C12.387	KH2012:KH.C12.6	KH2012:KH.C4.415	KH2012:KH.C11.112	KH2012:KH.C1.1016	KH2012:KH.S555.6	KH2012:KH.C2.799	KH2012:KH.C1.710	KH2012:KH.C9.41	KH2012:KH.S1271.1	KH2012:KH.C8.144	KH2012:KH.C9.633	KH2012:KH.C1.153	KH2012:KH.L50.5	KH2012:KH.C9.192	KH2012:KH.C8.342	KH2012:KH.C2.324	KH2012:KH.L9.14	KH2012:KH.L87.42	KH2012:KH.C6.184	KH2012:KH.C6.128	KH2012:KH.C2.506	KH2012:KH.C1.96	KH2012:KH.C8.499	KH2012:KH.C11.291	KH2012:KH.S1337.3
19	10	0	6	4	2	1	6	0	9	3	7	6	14	29	2	8	6	0	0	0	5	2	4	3	0	0	2	1	6	0	0	0	0	0	9	0	2	3	2	4	3	1	4	0	0	0	1	6	2	2	6	3	0	1	0	0	10	0	0	3	0	8	0	2	2	2	0	6	1	5	3	0	1	5	0	0	0	0	2	1	1	1	0	11	0	11	1	2	0	0	0	0	4	0	10	2	4	0	0	0	0	0	3	9	0	0	1	0	0	0	7	0	0	0	0	2	0	2	7	3	0	2	0	1	0	2	0	5	2	2	1	0	9	11	1	0	0	17	0	0	1	6	0	1	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	4	0	71	0	1	0	0	2	0	1	1	3	4	0	2	0	0	0	1	0	7	2	1	0	0	3	0	0	1	0	3	2	2	1	2	1	3	8	0	1	0	1	2	0	1	0	0	0	2	0	3	1	4	1	2	2	26	2	0	0	0	2	0	2	2	2	2	0	9	0	1	2	11	2	0	1	0	4	16	1	0	2	0	1	2	2	1	8	0	0	5	7	0	2	1	2	2	1	0	1	0	74	10	1	0	12	3	1	0	5	3	3	0	5	1	2	4	1	1	0	9	4	2	6	9	1	5	0	5	0	0	23	5	2	3	7	2
6	6	0	1	0	1	2	5	1	5	1	3	2	4	28	1	4	3	3	0	0	2	0	1	2	0	1	0	2	8	0	0	0	2	0	0	0	10	1	0	0	0	0	4	0	1	0	0	0	0	3	4	2	0	0	0	0	1	0	0	3	1	2	1	0	3	1	1	4	0	3	4	0	0	0	1	0	1	0	0	0	1	0	0	7	0	5	1	0	0	0	0	0	2	0	0	1	2	1	2	0	1	1	0	1	2	0	0	0	0	0	0	0	1	1	0	1	0	8	1	0	2	0	0	0	0	2	0	4	2	1	1	0	2	5	0	0	0	5	0	0	0	0	2	1	0	0	0	0	1	0	1	4	0	0	0	0	0	2	0	0	0	69	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	2	11	11	0	0	0	1	0	0	1	0	3	1	4	0	2	2	0	3	0	0	1	2	1	0	1	0	1	0	0	1	1	0	1	1	0	2	14	0	0	0	1	0	0	3	0	0	2	0	5	0	0	0	5	4	1	2	0	3	8	1	0	0	0	0	4	3	3	9	0	0	7	4	1	0	0	0	2	2	1	0	0	11	13	2	0	2	4	3	1	2	0	1	0	1	0	1	3	0	0	3	14	4	0	4	7	1	4	2	2	0	0	10	1	5	0	10	5
37	13	0	3	0	12	3	7	6	14	6	1	7	12	89	4	18	1	3	1	0	6	1	1	5	0	1	5	2	5	0	4	0	4	0	1	0	27	10	1	2	1	1	6	0	4	1	1	3	0	8	11	2	2	1	2	1	2	0	2	5	8	4	3	1	0	0	4	2	1	1	6	3	1	10	0	3	1	1	1	3	2	1	2	17	4	9	2	0	0	0	1	1	6	0	6	2	6	1	2	0	0	1	2	23	2	1	0	1	0	2	4	0	0	0	1	2	1	4	1	3	0	0	0	2	0	0	3	3	7	3	0	0	1	4	1	0	0	13	0	2	2	8	1	5	0	2	0	0	2	0	0	0	1	1	0	0	1	0	2	0	0	268	2	5	2	0	3	0	2	1	1	0	2	0	0	0	1	0	7	14	8	0	0	1	5	1	1	1	1	4	0	3	1	1	1	2	5	0	3	2	6	3	0	2	0	0	0	4	1	5	1	10	4	0	0	28	0	0	3	0	2	0	2	2	3	2	0	10	3	0	1	3	9	0	1	6	3	33	0	2	1	13	0	7	4	2	21	0	0	2	5	1	1	0	0	1	3	2	2	3	43	9	4	3	5	1	4	3	4	4	1	3	1	0	0	4	0	1	0	14	3	1	7	4	3	6	3	2	0	1	8	3	6	2	17	4
19	21	0	8	3	6	3	5	9	4	2	1	7	12	102	2	19	2	4	0	0	13	1	3	3	2	3	2	2	7	0	2	2	3	1	3	1	60	5	3	2	5	1	3	2	2	0	1	6	1	5	9	2	4	2	9	0	1	0	1	4	4	6	0	2	0	0	8	5	3	10	5	1	0	13	0	2	3	1	3	3	2	3	1	16	2	4	1	1	0	1	1	0	9	0	6	3	4	2	1	0	1	0	1	14	4	0	1	1	1	1	10	0	0	0	0	0	0	8	5	9	1	5	0	0	0	1	7	5	3	1	0	2	0	11	3	0	0	12	0	1	0	6	0	2	0	1	0	4	0	4	0	2	0	2	0	1	1	0	1	2	0	254	0	1	1	0	9	0	2	0	5	1	0	5	1	1	0	0	13	27	15	2	1	2	1	0	1	1	1	4	2	2	0	3	3	3	8	0	1	1	4	0	2	1	0	2	0	0	1	6	0	5	1	0	1	34	1	0	0	0	3	0	7	2	1	8	0	8	2	0	0	4	15	2	2	4	2	45	1	2	0	8	3	3	4	2	20	0	1	9	15	0	4	1	1	0	1	0	1	2	31	19	1	2	4	2	5	0	11	5	0	2	4	0	2	1	3	0	4	23	4	1	4	4	2	15	12	2	0	0	10	4	3	4	21	7
22	15	1	5	24	2	4	1	10	8	3	0	13	10	95	1	26	6	4	0	0	9	0	0	2	5	1	8	5	7	0	0	2	3	1	0	0	51	8	3	0	1	0	6	1	2	0	2	4	2	5	8	0	2	4	3	0	5	0	5	2	8	10	0	1	0	3	3	8	0	4	3	2	0	6	1	0	0	1	1	0	2	0	2	9	1	1	1	5	0	0	0	0	4	0	8	3	2	2	2	0	0	0	1	14	3	2	2	1	2	0	4	0	0	1	1	4	0	1	3	12	0	1	0	0	0	2	0	0	2	3	0	1	2	3	4	0	0	10	0	0	0	4	0	3	1	0	2	1	1	0	1	0	1	0	0	6	0	2	0	1	0	218	0	1	0	0	2	0	3	1	6	5	1	1	0	0	1	0	8	3	17	0	0	0	2	2	0	0	2	1	2	2	3	0	1	2	7	3	0	0	2	0	0	0	0	0	0	0	1	6	0	9	0	0	0	17	0	0	2	0	1	0	3	0	0	1	0	12	0	0	2	2	13	0	0	5	3	40	1	0	0	4	4	5	5	2	25	1	0	1	4	2	3	0	1	0	1	4	0	2	8	31	2	2	9	1	4	3	14	1	3	2	1	0	0	0	2	1	0	7	7	1	9	5	2	19	1	5	0	0	10	6	2	4	6	2
27	12	0	5	3	7	9	5	1	4	2	8	4	12	65	2	24	1	0	0	0	11	1	3	1	2	2	8	1	2	0	3	2	5	2	1	0	23	7	1	0	3	0	4	0	1	0	1	5	0	3	1	0	1	3	1	0	2	0	3	3	3	2	2	0	3	1	2	2	1	5	1	0	0	6	0	0	0	0	2	0	0	3	0	8	0	3	2	0	1	1	2	0	8	0	2	2	5	0	0	1	2	1	2	6	2	1	0	0	0	13	8	0	0	1	2	3	0	7	1	11	1	0	1	0	1	1	3	4	1	1	0	0	5	11	5	0	0	23	0	0	0	5	0	4	0	0	1	0	1	0	0	0	0	1	0	0	3	1	2	2	0	230	0	2	0	1	3	0	2	2	2	2	1	0	0	0	0	1	3	15	13	5	0	0	2	4	0	1	3	3	1	4	1	3	2	0	6	0	4	0	4	2	1	0	0	3	0	1	0	9	0	6	2	0	1	20	0	0	0	2	0	1	5	0	2	4	0	15	0	0	1	8	8	0	2	8	4	34	0	1	0	7	0	1	1	1	17	0	1	5	7	0	3	1	1	0	1	0	0	0	28	17	0	3	7	3	2	4	4	1	3	0	5	1	1	0	0	1	3	15	7	7	8	3	4	13	2	3	0	0	14	4	12	2	13	11
13	12	0	2	8	4	2	2	3	3	3	2	8	21	48	0	17	1	3	0	0	8	6	1	1	0	0	7	0	3	0	1	2	2	0	1	9	34	7	1	0	2	1	6	3	1	0	0	4	1	7	7	2	1	2	4	0	2	0	0	2	2	7	0	2	0	1	2	3	1	7	3	2	0	10	1	1	0	0	0	0	0	1	0	18	0	0	1	0	1	0	0	1	2	1	2	1	1	0	2	0	3	0	1	9	2	0	5	0	0	6	5	0	2	0	0	2	1	3	4	14	1	0	0	4	1	2	2	10	1	3	0	2	3	3	5	0	0	18	0	1	0	14	1	3	0	0	1	1	0	1	0	0	0	1	0	1	1	2	0	0	0	182	0	3	1	0	1	0	2	1	0	2	0	1	0	0	0	0	2	13	7	2	0	0	1	1	1	0	2	2	3	2	0	1	3	0	8	0	1	0	1	1	0	0	0	1	0	1	0	7	0	5	2	0	0	12	1	0	1	0	2	0	3	5	2	4	0	6	0	0	2	1	7	1	0	5	2	26	2	2	0	0	0	1	2	2	28	1	1	6	1	1	2	0	0	0	0	2	1	2	7	10	1	2	2	3	4	1	4	3	1	3	2	0	2	1	0	2	0	19	8	2	6	11	3	9	4	9	0	0	14	2	7	2	16	6
14	8	0	0	12	1	4	4	0	7	2	4	7	8	26	5	18	2	2	0	0	3	2	2	3	0	0	12	2	3	0	0	0	3	2	1	5	5	2	1	4	5	1	2	0	2	2	2	7	0	8	4	0	0	6	2	0	2	0	0	0	5	2	2	1	0	1	5	3	2	7	0	1	0	4	0	0	4	0	1	0	0	0	2	3	0	9	0	1	0	0	0	3	5	1	2	0	4	3	0	0	3	1	4	6	0	0	1	1	0	0	4	1	3	1	1	2	1	9	7	7	1	2	0	0	0	6	0	6	1	2	0	1	4	3	3	0	0	11	2	0	1	7	0	0	0	0	3	0	1	1	0	0	0	0	0	0	7	0	0	1	0	111	0	3	0	0	6	0	2	2	2	7	0	2	1	0	0	0	5	10	7	1	1	0	3	0	0	0	2	1	1	4	0	0	1	1	5	0	0	1	4	2	0	1	0	1	2	1	1	7	0	11	2	2	0	26	0	0	1	0	1	1	4	0	0	3	0	12	2	0	1	2	13	4	1	2	8	22	0	1	0	0	0	4	4	1	16	0	1	6	6	2	0	1	2	0	2	3	0	0	17	9	1	2	3	2	2	1	5	0	2	0	1	0	6	3	2	0	0	15	10	3	7	7	4	17	2	1	0	0	13	1	1	4	3	6
33	9	0	7	16	3	9	2	3	16	0	3	17	24	90	3	17	5	7	0	1	10	0	5	16	0	0	12	5	12	0	1	3	0	1	1	1	0	3	2	3	4	3	4	2	1	2	1	5	0	9	5	2	2	5	3	4	9	0	3	8	9	4	1	1	5	1	3	4	6	4	1	0	1	12	2	2	2	0	0	6	1	1	0	4	0	0	4	0	1	1	5	1	6	0	3	2	5	2	4	0	1	1	6	8	2	0	3	1	0	0	11	0	1	7	2	8	0	5	8	24	2	4	1	1	1	3	0	8	4	7	3	2	5	3	1	0	0	10	0	0	0	6	3	4	1	1	4	1	0	0	0	4	1	0	0	2	4	6	2	0	0	193	0	12	0	0	3	1	3	0	5	4	1	3	0	2	1	0	3	18	15	13	0	0	14	0	0	4	1	5	3	4	0	5	3	2	3	0	0	3	1	3	0	0	0	1	2	2	0	14	1	20	0	0	2	31	2	0	0	1	2	1	14	0	6	6	0	9	0	1	1	3	16	2	2	1	5	65	1	2	1	2	0	6	7	2	17	0	3	7	13	0	3	0	2	3	1	2	2	0	18	38	1	4	3	18	4	2	5	0	2	1	1	0	1	3	2	1	2	25	6	5	4	6	0	17	2	4	0	1	25	7	3	5	15	1
31	24	1	1	0	2	5	9	2	14	4	2	5	8	70	2	12	0	4	0	0	16	6	1	4	7	1	0	1	6	0	0	2	2	3	0	0	36	3	6	2	2	0	1	1	2	0	0	3	1	3	3	0	1	1	0	0	8	0	4	2	2	4	1	1	1	1	2	5	1	7	1	0	1	1	4	0	0	0	1	0	0	0	2	6	1	3	0	0	1	2	1	0	2	1	8	5	5	2	1	0	3	1	0	12	2	1	1	1	0	2	9	0	0	0	0	3	0	2	7	8	1	0	0	2	0	1	6	1	0	4	2	1	2	4	2	0	0	12	0	0	1	8	1	2	0	3	1	0	1	1	0	1	1	0	0	0	4	2	0	1	0	240	1	3	1	0	6	0	0	1	1	2	0	2	1	4	1	1	8	11	7	2	0	0	2	0	1	1	0	2	1	3	0	2	0	0	9	0	0	1	2	0	0	0	0	1	1	1	2	5	1	7	1	0	0	22	4	0	0	0	1	0	2	3	2	1	0	5	0	0	1	1	4	1	2	2	6	15	0	0	0	6	1	1	1	1	22	0	1	6	2	2	2	0	1	0	2	1	0	4	7	21	0	1	3	3	2	5	4	0	0	2	2	0	0	1	1	1	0	11	6	2	4	6	2	6	4	3	0	0	12	4	6	0	23	8
